manifestacao,norma,secao,trecho,recomendacoes,consultas_relacionadas
fissura em pilar,NBR 6118 / NBR 15575,7.4.2 / 6.3.4.2,Fissuras em pilares podem estar associadas a esforços de flambagem ou redistribuição de cargas. A NBR 6118 prevê controle de fissuração nas zonas de máxima excentricidade e interfaces com vigas.,Avaliar se as fissuras estão localizadas nas faces tracionadas; verificar alinhamento vertical e excentricidade da carga; identificar presença de armaduras longitudinais insuficientes; checar histórico de sobrecarga ou recalque diferencial.,NBR 6118 – Projeto de estruturas de concreto; NBR 15575 – Desempenho de edificações; Análise estrutural de pilares submetidos à compressão excêntrica.
desplacamento de revestimento,NBR 13755 / NBR 13528,5.3.6 / 6.1.2,"O desplacamento pode decorrer de falhas de aderência, presença de umidade, ou dilatação térmica não absorvida. A norma exige controle da espessura e da cura adequada do revestimento, além de ancoragem correta em substrato.",Inspecionar aderência entre base e revestimento; verificar presença de eflorescência ou umidade na interface; avaliar espessura do revestimento e omissão de juntas de movimentação; identificar falhas de cura e aplicação de chapisco ou ponte de aderência.,NBR 13755 – Revestimento de fachada com argamassa; NBR 13528 – Ensaios de aderência; Inspeção de falhas por delaminação superficial.
trinca na alvenaria,NBR 15575 / NBR 9575,6.2.2 / 5.4,"Trincas podem surgir por movimentações térmicas, retração da argamassa, recalques diferenciais ou sobrecarga. Devem ser previstas juntas de controle em panos extensos de alvenaria.",Verificar padrão e direção das trincas; analisar se ocorrem próximas a vãos ou fundações; verificar existência e espaçamento das juntas de controle; avaliar histórico de recalques ou impactos externos.,NBR 15575 – Desempenho térmico e estrutural; NBR 9575 – Impermeabilização; Recomendações para juntas de movimentação e detalhamento de alvenarias estruturais.
infiltração em laje,NBR 9575 / NBR 15575,5.3 / 6.2.3,"Infiltrações em lajes podem ser causadas por falhas na impermeabilização, ausência de caimento mínimo, ou juntas mal seladas. A estanqueidade deve ser garantida pela NBR 9575 e verificada sob pressão positiva e negativa.","Verificar falhas ou ausência de impermeabilização; avaliar o caimento e posicionamento dos ralos; inspecionar trincas, fissuras ou juntas não vedadas; realizar ensaio de estanqueidade, se necessário.",NBR 9575 – Sistemas de impermeabilização; NBR 15575 – Desempenho hidrotérmico; Boletins técnicos sobre testes de estanqueidade em lajes planas.
mancha por eflorescência,NBR 13245 / NBR 13755,5.4.1 / 6.3.2,"As eflorescências decorrem da migração de sais solúveis presentes em argamassas, blocos ou substrato, normalmente associadas à presença de umidade contínua por capilaridade ou infiltração intersticial.",Inspecionar pontos de umidade e possíveis trajetos de água; verificar ausência de impermeabilização ou falha nas pingadeiras; avaliar tempo de cura das argamassas; testar solubilidade dos sais em água.,NBR 13245 – Execução de revestimentos de paredes e tetos; NBR 13755 – Revestimentos de fachada; Estudos sobre sais solúveis e mitigação de eflorescências.
corrosão em armadura exposta,NBR 6118 / NBR 9452,7.4.5 / 4.2,"A exposição da armadura ao ambiente externo reduz a durabilidade da estrutura, acelerando o processo de corrosão, comprometendo a seção resistente e a aderência com o concreto. A NBR 9452 trata da avaliação da corrosão em estruturas de concreto armado.",Verificar espessura do cobrimento em relação à norma; avaliar condições de carbonatação e presença de cloretos; identificar perda de seção nas barras; inspecionar aderência e possíveis destacamentos do concreto de proteção.,NBR 6118 – Cobrimento mínimo e agressividade ambiental; NBR 9452 – Determinação da corrosão por métodos eletroquímicos; Guia ABECE para inspeção de armaduras oxidadas.
trinca em fachada próxima a esquadrias,NBR 15575 / NBR 10821,6.4.3 / 8.2.1,Trincas nas regiões de encontro entre alvenaria e esquadrias são comuns por incompatibilidade de movimentação e ausência de juntas adequadas. A norma exige que esquadrias permitam movimentação diferencial sem comprometer o desempenho.,"Verificar detalhamento do encontro entre a esquadria e a alvenaria; avaliar presença de juntas de dessolidarização ou materiais flexíveis; inspecionar calafetações, selantes e ancoragens; verificar falhas de estanqueidade e vedação perimetral.",NBR 10821 – Esquadrias para edificações; NBR 15575 – Requisitos de estanqueidade e movimentação; Boletins técnicos sobre fissuras induzidas por ancoragens rígidas.
umidade ascendente em parede,NBR 9575 / NBR 5626,5.4 / 6.7,"A umidade ascendente ocorre quando a impermeabilização entre fundação e parede foi omitida ou falhou, permitindo a ascensão capilar da água através dos poros da alvenaria.","Inspecionar ausência ou falha na impermeabilização horizontal; verificar tipo de argamassa utilizada no embasamento; analisar presença de manchas, bolhas e eflorescências até 1m de altura; realizar ensaio de umidade relativa interna ou resistência elétrica.",NBR 9575 – Sistemas de impermeabilização; NBR 5626 – Instalação predial de água fria; Normas de inspeção predial e métodos de ensaio não destrutivos (END).
fissura por retração plástica,NBR 6118 / ACI 305R,5.1.1 / 6.2,"Fissuras por retração plástica ocorrem nas primeiras horas após o lançamento do concreto, sob forte evaporação da água superficial antes da pega. É comum em dias quentes, secos ou com vento intenso.",Verificar histórico climático na data da concretagem; avaliar se houve uso de aditivos plastificantes ou cura úmida adequada; identificar direção superficial das fissuras e momento da ocorrência; consultar registros fotográficos e boletins de concretagem.,NBR 6118 – Concreto estrutural: retração e cura; ACI 305R – Hot Weather Concreting; Artigos sobre controle da perda de água superficial por evaporação.
bolhas na pintura de fachada,NBR 13245 / NBR 15575,6.2.3 / 4.5.5,"As bolhas na pintura ocorrem geralmente por umidade retida na superfície, má preparação do substrato ou incompatibilidade entre camadas. A norma exige verificação do suporte antes da aplicação e compatibilidade entre materiais.",Verificar teor de umidade no substrato antes da pintura; avaliar se houve lixamento ou limpeza prévia adequada; inspecionar tipo de tinta e tempo de cura entre demãos; testar adesão entre base e filme de tinta com ensaio de fita ou corte em X.,NBR 13245 – Execução de revestimento de paredes e tetos; NBR 15575 – Desempenho de sistemas de vedação vertical; Manuais de fabricantes de tintas e estudos de falhas de aderência.
